Porosity_used,k0_m2,Permeability_mD,Tortuosity,OutletHConc,C_molL,pH,eta_Pa_s,K_f_Pa,omega_rad_s,theta_deg,Lambda_m,debye_d_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,RE_energy_proxy,TTM_energy_proxy_abs,matrix_cond,scan,scan_value,RE_abs_norm_to_scan_start,TTM_abs_norm_to_scan_start,RE_energy_proxy_norm_to_scan_start,TTM_energy_proxy_abs_norm_to_scan_start,L_abs_norm_to_scan_start
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,3.3035991201283396e-05,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,5.314684573197677e-08,2.6578904387966806e-09,4.947604518733734e-05,627828823.7499579,-27853365.84778234,628446371.5547303,2.7905401320380825e-05,5.061630030582641e-06,2.8360739084480994e-05,3.949448419203061e+17,8.043315214180078e-10,7.879537535231906e+25,electrolyte_concentration_molL,3.3035991201283396e-05,0.8455059930960225,0.6532364256395503,0.7148803843612912,0.42671782778233586,0.8530354772486313
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,3.934927263095845e-05,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,4.8697067674710984e-08,2.615607375078647e-09,5.802999089806005e-05,616909194.9422162,-25288710.660339795,617427302.3531723,2.5705927708754586e-05,6.5892051245698184e-06,2.6536999520318303e-05,3.8121647369111565e+17,7.042123435413739e-10,7.993630190964805e+25,electrolyte_concentration_molL,3.934927263095845e-05,0.8306810383028104,0.611230005755981,0.690030987395835,0.37360211993645653,0.8394649579707272
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,4.686904192314192e-05,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,4.461985217475626e-08,2.5724721514497976e-09,6.817919026066284e-05,605624370.0832329,-22903584.46209728,606057300.7727281,2.3243613262468064e-05,7.925559847438415e-06,2.4557688335641638e-05,3.67305451819925e+17,6.030800563905093e-10,8.111757161525743e+25,electrolyte_concentration_molL,4.686904192314192e-05,0.8153839423008173,0.5656402854156505,0.6648509733620227,0.3199489324850985,0.8256209426052479
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,5.5825862688627005e-05,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,4.088400602262582e-08,2.5285641834007325e-09,8.022736975606668e-05,593973059.0731606,-20678678.539500322,594332905.5763851,2.0559497937646774e-05,8.979617523795276e-06,2.243493896407461e-05,3.5323160265086835e+17,5.033264863217532e-10,8.23375066757794e+25,electrolyte_concentration_molL,5.5825862688627005e-05,0.7996100483734644,0.5167467355021425,0.6393762294598141,0.2670271886521213,0.8115289191218762
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,6.649435996665046e-05,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,3.74609476945726e-08,2.4839558505790877e-09,9.453631231061002e-05,581948967.8209722,-18595389.677284226,582245987.2469238,1.7742583928660647e-05,9.661646906810158e-06,2.0202641050551815e-05,3.3901038966514496e+17,4.0814670541744133e-10,8.358484690664618e+25,electrolyte_concentration_molL,6.649435996665046e-05,0.7833484191427326,0.4653299404162135,0.6136347457734183,0.21653195344775683,0.7972121173747714
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,7.920164050192556e-05,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,3.432448868633087e-08,2.438713059776565e-09,0.00011153695828317819,569540953.6506726,-16635394.424717328,569783848.6943829,1.49026443527002e-05,9.933597945872969e-06,1.79099183932624e-05,3.246536342329834e+17,3.207651768533188e-10,8.486539046160926e+25,electrolyte_concentration_molL,7.920164050192556e-05,0.7665819720600658,0.41252137470256167,0.5876479198874995,0.17017388458649127,0.7826916897901931
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,9.433732216299774e-05,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,3.1450633154930896e-08,2.392895774889959e-09,0.00013174262866378486,556732694.8825208,-14781352.418860676,556928884.0870839,1.2185884158084316e-05,9.78351533632864e-06,1.562731407025622e-05,3.1016978193048454e+17,2.44212945050428e-10,8.61538345441594e+25,electrolyte_concentration_molL,9.433732216299774e-05,0.7492870204007548,0.35994586583911803,0.561431038941041,0.12956102633467234,0.7679868814546107
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,0.00011236548001387516,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,2.8817394335722358e-08,2.3465585130137118e-09,0.00015576477611129298,543502980.9172069,-13016150.763809152,543658818.0528262,9.703583258604903e-06,9.274421697686464e-06,1.3422906759833908e-05,2.95564910446596e+17,1.8017442588319483e-10,8.745430945776753e+25,electrolyte_concentration_molL,0.00011236548001387516,0.7314335950830341,0.3091714784783199,0.5349951040160918,0.09558700310447021,0.7531151893329088
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,0.00013383887531737577,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,2.640462633008471e-08,2.2997508066794143e-09,0.0001843317469785594,529825632.8403478,-11323569.626481459,529946624.14601797,7.538914690043409e-06,8.498420787799567e-06,1.1360386903193751e-05,2.8084342444376083e+17,1.290583905902561e-10,8.875697400881412e+25,electrolyte_concentration_molL,0.00013383887531737577,0.712985334974508,0.2616652024624221,0.5083480878887113,0.06846867817970036,0.7380925106216417
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,0.00015941590374559997,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,2.419386997689589e-08,2.252517632884529e-09,0.00021831112980852382,515669844.5607744,-9688392.741622435,515760849.17648524,5.734737219824453e-06,7.558769429728371e-06,9.48800328163076e-06,2.6600925354324915e+17,9.002220627223607e-11,9.004013750327108e+25,electrolyte_concentration_molL,0.00015941590374559997,0.6938999232411587,0.21853835796332613,0.4814971034740858,0.04775901390130688,0.7229332804434674
