position,medium,z_m,r_m,time_ms,model_mv,raw_model_mv
1,fluid,-0.023,0.0,0.096557719054242,0.0,0.0019496002008295378
1,fluid,-0.023,0.0,0.09668289290681502,0.0,0.002716100810544337
1,fluid,-0.023,0.0,0.09680806675938804,0.0,0.0031556183653750395
1,fluid,-0.023,0.0,0.09693324061196106,0.0,0.0034544558134288195
1,fluid,-0.023,0.0,0.09705841446453409,0.0,0.0038447724280949408
1,fluid,-0.023,0.0,0.09718358831710709,0.0,0.004478330316405929
1,fluid,-0.023,0.0,0.09730876216968012,0.0,0.005337623567608616
1,fluid,-0.023,0.0,0.09743393602225313,0.0,0.006229372704389377
1,fluid,-0.023,0.0,0.09755910987482615,0.006869553143901978,0.006869553143901978
1,fluid,-0.023,0.0,0.09768428372739917,0.007026498687923385,0.007026498687923385
1,fluid,-0.023,0.0,0.09780945757997217,0.006657837648293876,0.006657837648293876
1,fluid,-0.023,0.0,0.0979346314325452,0.005972764179474748,0.005972764179474748
1,fluid,-0.023,0.0,0.09805980528511822,0.005377495189640273,0.005377495189640273
1,fluid,-0.023,0.0,0.09818497913769125,0.005309759283636721,0.005309759283636721
1,fluid,-0.023,0.0,0.09831015299026426,0.00601886088017923,0.00601886088017923
1,fluid,-0.023,0.0,0.09843532684283728,0.007379771107358889,0.007379771107358889
1,fluid,-0.023,0.0,0.0985605006954103,0.008827697437776338,0.008827697437776338
1,fluid,-0.023,0.0,0.0986856745479833,0.009461605576755383,0.009461605576755383
1,fluid,-0.023,0.0,0.09881084840055633,0.008303755324284885,0.008303755324284885
1,fluid,-0.023,0.0,0.09893602225312934,0.004640241392791595,0.004640241392791595
1,fluid,-0.023,0.0,0.09906119610570238,-0.001670927665091184,-0.001670927665091184
1,fluid,-0.023,0.0,0.09918636995827539,-0.010036381380657752,-0.010036381380657752
1,fluid,-0.023,0.0,0.0993115438108484,-0.019178298892596705,-0.019178298892596705
1,fluid,-0.023,0.0,0.09943671766342142,-0.027400087738740867,-0.027400087738740867
1,fluid,-0.023,0.0,0.09956189151599443,-0.032995668248618326,-0.032995668248618326
1,fluid,-0.023,0.0,0.09968706536856746,-0.03468301027766254,-0.03468301027766254
1,fluid,-0.023,0.0,0.09981223922114046,-0.0319346297327401,-0.0319346297327401
1,fluid,-0.023,0.0,0.0999374130737135,-0.025111947806701108,-0.025111947806701108
1,fluid,-0.023,0.0,0.10006258692628651,-0.015373324806476098,-0.015373324806476098
1,fluid,-0.023,0.0,0.10018776077885953,-0.004394094521375003,-0.004394094521375003
1,fluid,-0.023,0.0,0.10031293463143255,0.006012600797296221,0.006012600797296221
1,fluid,-0.023,0.0,0.10043810848400556,0.014268201743911454,0.014268201743911454
1,fluid,-0.023,0.0,0.10056328233657859,0.019306246765270155,0.019306246765270155
1,fluid,-0.023,0.0,0.10068845618915159,0.02070858032699955,0.02070858032699955
1,fluid,-0.023,0.0,0.10081363004172463,0.018700749693689844,0.018700749693689844
1,fluid,-0.023,0.0,0.10093880389429763,0.014041596304266069,0.014041596304266069
1,fluid,-0.023,0.0,0.10106397774687065,0.007854465452118216,0.007854465452118216
1,fluid,-0.023,0.0,0.10118915159944368,0.001439182431514401,0.001439182431514401
1,fluid,-0.023,0.0,0.10131432545201668,-0.003914586251599762,-0.003914586251599762
1,fluid,-0.023,0.0,0.10143949930458972,-0.007107239898411752,-0.007107239898411752
1,fluid,-0.023,0.0,0.10156467315716272,-0.007399506804324068,-0.007399506804324068
1,fluid,-0.023,0.0,0.10168984700973575,-0.00455886676365528,-0.00455886676365528
1,fluid,-0.023,0.0,0.10181502086230876,0.0010489182814016396,0.0010489182814016396
1,fluid,-0.023,0.0,0.10194019471488178,0.008463686323395664,0.008463686323395664
1,fluid,-0.023,0.0,0.1020653685674548,0.016261827160346205,0.016261827160346205
1,fluid,-0.023,0.0,0.10219054242002781,0.022816007006081843,0.022816007006081843
1,fluid,-0.023,0.0,0.10231571627260085,0.0266423370950043,0.0266423370950043
1,fluid,-0.023,0.0,0.10244089012517385,0.026753886430178526,0.026753886430178526
