panel,z_cm,r_cm,dipole_vpp_mv
z,-3.427094972067039,0.0,0.018713903687558257
z,-3.404469273743017,0.0,0.018963470999521878
z,-3.3818435754189946,0.0,0.019218064123027234
z,-3.3592178770949723,0.0,0.019477818916600373
z,-3.3365921787709496,0.0,0.01974287586067089
z,-3.3139664804469273,0.0,0.020013380247548188
z,-3.291340782122905,0.0,0.020289482380570798
z,-3.2687150837988828,0.0,0.020571337782938185
z,-3.2460893854748605,0.0,0.020859107416767098
z,-3.223463687150838,0.0,0.021152957912948408
z,-3.200837988826816,0.0,0.02145306181241741
z,-3.1782122905027936,0.0,0.02175959781948993
z,-3.1555865921787714,0.0,0.02207275106795871
z,-3.1329608938547486,0.0,0.022392713400690073
z,-3.1103351955307263,0.0,0.02271968366350918
z,-3.087709497206704,0.0,0.023053868014214742
z,-3.065083798882682,0.0,0.02339548024761972
z,-3.042458100558659,0.0,0.023744742137575093
z,-3.019832402234637,0.0,0.02410188379699841
z,-2.9972067039106145,0.0,0.024467144056998485
z,-2.974581005586592,0.0,0.0248407708662627
z,-2.95195530726257,0.0,0.025223021711954046
z,-2.9293296089385477,0.0,0.025614164063452117
z,-2.9067039106145254,0.0,0.02601447584036605
z,-2.884078212290503,0.0,0.02642424590634875
z,-2.861452513966481,0.0,0.026843774590350773
z,-2.838826815642458,0.0,0.02727337423707046
z,-2.816201117318436,0.0,0.027713369788484286
z,-2.7935754189944135,0.0,0.028164099398479314
z,-2.7709497206703912,0.0,0.028625915082758847
z,-2.7483240223463685,0.0,0.029099183406353844
z,-2.7256983240223462,0.0,0.02958428621124764
z,-2.703072625698324,0.0,0.030081621386811377
z,-2.6804469273743017,0.0,0.030591603685952935
z,-2.6578212290502794,0.0,0.031114665590105953
z,-2.635195530726257,0.0,0.031651258226427774
z,-2.612569832402235,0.0,0.03220185234083912
z,-2.5899441340782126,0.0,0.03276693933082505
z,-2.5673184357541903,0.0,0.03334703234222889
z,-2.5446927374301676,0.0,0.03394266743461125
z,-2.5220670391061453,0.0,0.03455440482011661
z,-2.499441340782123,0.0,0.035182830181194925
z,-2.4768156424581003,0.0,0.035828556072966776
z,-2.454189944134078,0.0,0.036492223416503586
z,-2.4315642458100557,0.0,0.03717450308982176
z,-2.4089385474860334,0.0,0.037876097623966945
z,-2.386312849162011,0.0,0.038597743012197296
z,-2.363687150837989,0.0,0.039340210640967474
z,-2.3410614525139666,0.0,0.04010430935217601
z,-2.3184357541899443,0.0,0.040890887646973434
z,-2.2958100558659216,0.0,0.041700836042346735
z,-2.2731843575418993,0.0,0.042535089592704765
z,-2.250558659217877,0.0,0.043394630589801794
z,-2.2279329608938547,0.0,0.04428049145556027
z,-2.2053072625698324,0.0,0.045193757843706245
z,-2.18268156424581,0.0,0.046135571967622704
z,-2.160055865921788,0.0,0.04710713617347524
z,-2.137430167597765,0.0,0.04810971677948963
z,-2.114804469273743,0.0,0.049144648204281646
z,-2.0921787709497206,0.0,0.05021333740938074
z,-2.0695530726256983,0.0,0.05131726868357533
z,-2.046927374301676,0.0,0.05245800879947227
z,-2.0243016759776538,0.0,0.05363721257573616
z,-2.001675977653631,0.0,0.05485662888189797
z,-1.9790502793296088,0.0,0.05611810712643978
z,-1.9564245810055865,0.0,0.05742360427312321
z,-1.9337988826815642,0.0,0.05877519243529176
z,-1.911173184357542,0.0,0.06017506710320671
z,-1.8885474860335196,0.0,0.0616255560654485
z,-1.865921787709497,0.0,0.06312912909211521
z,-1.8432960893854746,0.0,0.06468840845507805
z,-1.8206703910614523,0.0,0.06630618036902274
z,-1.79804469273743,0.0,0.06798540744654596
z,-1.7754189944134078,0.0,0.06972924227134236
z,-1.7527932960893855,0.0,0.07154104220567928
z,-1.7301675977653632,0.0,0.07342438556212127
z,-1.7075418994413405,0.0,0.07538308928506586
z,-1.6849162011173182,0.0,0.07742122830535994
z,-1.662290502793296,0.0,0.0795431567514018
z,-1.6396648044692737,0.0,0.08175353122306421
z,-1.6170391061452514,0.0,0.08405733636093808
z,-1.594413407821229,0.0,0.08645991297329655
z,-1.5717877094972064,0.0,0.08896698901741523
z,-1.549162011173184,0.0,0.0915847137711556
z,-1.5265363128491618,0.0,0.09431969557585537
z,-1.5039106145251395,0.0,0.09717904358354182
z,-1.4812849162011172,0.0,0.10017041400146061
z,-1.458659217877095,0.0,0.10330206139625817
z,-1.4360335195530727,0.0,0.10658289570051414
z,-1.41340782122905,0.0,0.11002254565764198
z,-1.3907821229050277,0.0,0.11363142954980114
z,-1.3681564245810054,0.0,0.11742083418019976
z,-1.3455307262569831,0.0,0.12140300322938508
z,-1.3229050279329608,0.0,0.1255912362789046
z,-1.3002793296089385,0.0,0.13
z,-1.2776536312849158,0.0,0.13464505324576537
z,-1.2550279329608935,0.0,0.13954358806975709
z,-1.2324022346368713,0.0,0.1447143890313158
z,-1.209776536312849,0.0,0.15017801354877647
z,-1.1871508379888267,0.0,0.15595699653979242
z,-1.1645251396648044,0.0,0.16207608315980138
z,-1.1418994413407821,0.0,0.1685624941358604
z,-1.1192737430167594,0.0,0.17544622901935605
z,-1.0966480446927371,0.0,0.18276041367956208
z,-1.0740223463687149,0.0,0.19054169957098976
z,-1.0513966480446926,0.0,0.19883072378176392
z,-1.0287709497206703,0.0,0.20767264067227312
z,-1.006145251396648,0.0,0.21711773812500373
z,-0.9835195530726253,0.0,0.2272221541526193
z,-0.960893854748603,0.0,0.23804871298674982
z,-0.9382681564245807,0.0,0.24966790396885358
z,-0.9156424581005584,0.0,0.2621590318133985
z,-0.8930167597765362,0.0,0.27561157340871956
z,-0.8703910614525139,0.0,0.290126784651993
z,-0.8477653631284912,0.0,0.30581961139805003
