scan,scan_value,Porosity_used,k0_m2,Permeability_mD,Tortuosity,C_molL,pH,eta_Pa_s,K_f_Pa,Lambda_m,debye_d_m,L_abs,R_E_abs,T_TM_abs,RE_EE,TE_TM_TM,minus_TE_TM_TM,RE_Pr_Pr,matrix_cond
electrolyte_concentration_molL,0.0014174741629268048,0.24,3.9e-13,395.1674866729765,2.3,0.0014174741629268048,7.0,0.001,2220000000.0,5.468089245796927e-06,8.113599928055978e-09,1.6393880819533413e-09,286144635.99072224,5.030235365764117e-07,4.0939376353131495e-07,-9.015259605111777e-07,9.015259605111777e-07,-0.05698197499541141,9.429618224120373e+25
electrolyte_concentration_molL,0.001629750834620645,0.24,3.9e-13,395.1674866729765,2.3,0.001629750834620645,7.0,0.001,2220000000.0,5.468089245796927e-06,7.566770448176454e-09,1.5993425001466431e-09,268377798.49088648,4.027963818578674e-07,3.6013321361407447e-07,-6.977769340994125e-07,6.977769340994125e-07,-0.05698193930596697,9.29211511481778e+25
electrolyte_concentration_molL,0.001873817422860385,0.24,3.9e-13,395.1674866729765,2.3,0.001873817422860385,7.0,0.001,2220000000.0,5.468089245796927e-06,7.056795445066403e-09,1.5592348780453013e-09,250522427.6649301,3.210895213805475e-07,3.1380743381565083e-07,-5.36279389232291e-07,5.36279389232291e-07,-0.056981909473677796,9.127912025858356e+25
electrolyte_concentration_molL,0.0021544346900318843,0.24,3.9e-13,395.1674866729765,2.3,0.0021544346900318843,7.0,0.001,2220000000.0,5.468089245796927e-06,6.581191050339189e-09,1.5190702342918754e-09,232688446.0873734,2.5499397387281085e-07,2.707195647127825e-07,-4.0937087117909437e-07,4.0937087117909437e-07,-0.05698188476006903,8.931151589853549e+25
electrolyte_concentration_molL,0.0024770763559917113,0.24,3.9e-13,395.1674866729765,2.3,0.0024770763559917113,7.0,0.001,2220000000.0,5.468089245796927e-06,6.1376408000242204e-09,1.4788531940903118e-09,214996199.51023903,2.016559530311291e-07,2.3111682901923263e-07,-3.105275900003227e-07,3.105275900003227e-07,-0.05698186451122096,8.708193990753027e+25
electrolyte_concentration_molL,0.002848035868435802,0.24,3.9e-13,395.1674866729765,2.3,0.002848035868435802,7.0,0.001,2220000000.0,5.468089245796927e-06,5.7239843520695915e-09,1.4385880192562333e-09,197572851.95958328,1.5892671175593216e-07,1.951751591572171e-07,-2.3423676367262433e-07,2.3423676367262433e-07,-0.0569818480877996,8.456565444838148e+25
electrolyte_concentration_molL,0.0032745491628777285,0.24,3.9e-13,395.1674866729765,2.3,0.0032745491628777285,7.0,0.001,2220000000.0,5.468089245796927e-06,5.3382069642472805e-09,1.3982786360323488e-09,180547960.64417952,1.248514318341673e-07,1.6298783046386107e-07,-1.7588015176561013e-07,1.7588015176561013e-07,-0.05698183489736126,8.180214283308313e+25
electrolyte_concentration_molL,0.0037649358067924675,0.24,3.9e-13,395.1674866729765,2.3,0.0037649358067924675,7.0,0.001,2220000000.0,5.468089245796927e-06,4.9784296812123274e-09,1.3579286608292648e-09,164048563.5431091,9.782481669938831e-08,1.3455965600278754e-07,-1.3162763599825487e-07,1.3162763599825487e-07,-0.05698182440729338,7.882057871033505e+25
electrolyte_concentration_molL,0.004328761281083062,0.24,3.9e-13,395.1674866729765,2.3,0.004328761281083062,7.0,0.001,2220000000.0,5.468089245796927e-06,4.642900182921375e-09,1.3175414240412367e-09,148194133.6125188,7.65470033263618e-08,1.0980750618582542e-07,-9.833913750128138e-08,9.833913750128138e-08,-0.05698181620043928,7.561039199334966e+25
electrolyte_concentration_molL,0.004977023564332114,0.24,3.9e-13,395.1674866729765,2.3,0.004977023564332114,7.0,0.001,2220000000.0,5.468089245796927e-06,4.329984249837189e-09,1.2771199920762645e-09,133091819.06668788,5.981537152382784e-08,8.856716151239996e-08,-7.347337577588629e-08,7.347337577588629e-08,-0.05698180979536514,7.227765417398652e+25
electrolyte_concentration_molL,0.00572236765935022,0.24,3.9e-13,395.1674866729765,2.3,0.00572236765935022,7.0,0.001,2220000000.0,5.468089245796927e-06,4.0381578033497905e-09,1.236667187730392e-09,118832381.5842647,4.6733938316541864e-08,7.060567456494146e-08,-5.5002566461406375e-08,5.5002566461406375e-08,-0.056981804867953435,6.883651844579449e+25
electrolyte_concentration_molL,0.006579332246575682,0.24,3.9e-13,395.1674866729765,2.3,0.006579332246575682,7.0,0.001,2220000000.0,5.468089245796927e-06,3.765999482646606e-09,1.196185609027106e-09,105487145.76969282,3.655092280804003e-08,5.5637689613182154e-08,-4.133285025171012e-08,4.133285025171012e-08,-0.05698180114524599,6.530820158578339e+25
electrolyte_concentration_molL,0.007564633275546291,0.24,3.9e-13,395.1674866729765,2.3,0.007564633275546291,7.0,0.001,2220000000.0,5.468089245796927e-06,3.5121837218766993e-09,1.1556776466342765e-09,93106180.24597941,2.863650761831268e-08,4.3343803999984057e-08,-3.123082997035793e-08,3.123082997035793e-08,-0.05698179837456506,6.173979009594628e+25
electrolyte_concentration_molL,0.008697490026177835,0.24,3.9e-13,395.1674866729765,2.3,0.008697490026177835,7.0,0.001,2220000000.0,5.468089245796927e-06,3.275474293890974e-09,1.1151454999632329e-09,81717777.42424394,2.2472084732224114e-08,3.3388975735791386e-08,-2.3756912461518875e-08,2.3756912461518875e-08,-0.05698179630324361,5.821270059046866e+25
electrolyte_concentration_molL,0.01,0.24,3.9e-13,395.1674866729765,2.3,0.01,7.0,0.001,2220000000.0,5.468089245796927e-06,3.0547182891126743e-09,1.0745911920471496e-09,71329162.2550789,1.7679990698132275e-08,2.543924694005686e-08,-1.82061798913489e-08,1.82061798913489e-08,-0.05698179481001837,5.472144779335262e+25
electrolyte_concentration_molL,0.011497569953977356,0.24,3.9e-13,395.1674866729765,2.3,0.011497569953977356,7.0,0.001,2220000000.0,5.468089245796927e-06,2.8488405002118633e-09,1.0340165832890146e-09,61928241.99801474,1.3945117874770233e-08,1.9175535784823393e-08,-1.4057293111179957e-08,1.4057293111179957e-08,-0.056981793756527656,5.130004881247598e+25
electrolyte_concentration_molL,0.013219411484660288,0.24,3.9e-13,395.1674866729765,2.3,0.013219411484660288,7.0,0.001,2220000000.0,5.468089245796927e-06,2.6568381852340497e-09,9.9342338416303e-10,53486137.766429044,1.1018535816797254e-08,1.430383466584714e-08,-1.092955725441904e-08,1.092955725441904e-08,-0.05698179301453303,4.799879745947843e+25
electrolyte_concentration_molL,0.01519911082952933,0.24,3.9e-13,395.1674866729765,2.3,0.01519911082952933,7.0,0.001,2220000000.0,5.468089245796927e-06,2.477776183676415e-09,9.528131669472337e-10,45960201.843744785,8.715639697645608e-09,1.0561700767588808e-08,-8.547866900599129e-09,8.547866900599129e-09,-0.05698179250182594,4.483995912229117e+25
electrolyte_concentration_molL,0.017475284000076828,0.24,3.9e-13,395.1674866729765,2.3,0.017475284000076828,7.0,0.001,2220000000.0,5.468089245796927e-06,2.3107823617241566e-09,9.121873765595619e-10,39297234.5013604,6.894254770394719e-09,7.721363197274554e-09,-6.7148883755497315e-09,6.7148883755497315e-09,-0.05698179215479211,4.1848913965152225e+25
