z_m,z_mm,side,distance_from_interface_m,distance_from_interface_mm,peak_abs,peak_signed,peak_time_s,peak_time_us,liu_dipole_peak_distance_m,liu_dipole_peak_distance_mm
-0.017999999999999933,-17.999999999999932,R_E,0.017999999999999933,17.999999999999932,1105027835109.615,1105027835109.615,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.016999999999999932,-16.999999999999932,R_E,0.016999999999999932,16.999999999999932,1089434757122.2195,1089434757122.2195,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.01599999999999993,-15.99999999999993,R_E,0.01599999999999993,15.99999999999993,1072784789771.1965,1072784789771.1965,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.01499999999999993,-14.99999999999993,R_E,0.01499999999999993,14.99999999999993,1055009307437.3796,1055009307437.3796,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.01399999999999993,-13.999999999999929,R_E,0.01399999999999993,13.999999999999929,1036035746516.7217,1036035746516.7217,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.012999999999999928,-12.999999999999929,R_E,0.012999999999999928,12.999999999999929,1015787471501.729,1015787471501.729,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.011999999999999927,-11.999999999999927,R_E,0.011999999999999927,11.999999999999927,994183653555.3804,994183653555.3804,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.010999999999999927,-10.999999999999927,R_E,0.010999999999999927,10.999999999999927,971139165593.0299,971139165593.0299,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.009999999999999926,-9.999999999999925,R_E,0.009999999999999926,9.999999999999925,946564498580.3108,946564498580.3108,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.008999999999999925,-8.999999999999925,R_E,0.008999999999999925,8.999999999999925,920365704541.1951,920365704541.1951,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.007999999999999924,-7.999999999999924,R_E,0.007999999999999924,7.999999999999924,892444372660.0986,892444372660.0986,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.006999999999999923,-6.999999999999923,R_E,0.006999999999999923,6.999999999999923,862697645864.4779,862697645864.4779,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.005999999999999922,-5.999999999999922,R_E,0.005999999999999922,5.999999999999922,831018286399.4761,831018286399.4761,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.004999999999999921,-4.999999999999921,R_E,0.004999999999999921,4.999999999999921,797294800162.894,797294800162.894,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.00399999999999992,-3.99999999999992,R_E,0.00399999999999992,3.99999999999992,761411630965.1111,761411630965.1111,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.0029999999999999194,-2.999999999999919,R_E,0.0029999999999999194,2.999999999999919,723249437420.83,723249437420.83,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.0019999999999999185,-1.9999999999999185,R_E,0.0019999999999999185,1.9999999999999185,682685466871.7626,682685466871.7626,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.0009999999999999176,-0.9999999999999176,R_E,0.0009999999999999176,0.9999999999999176,639594042581.0977,639594042581.0977,5.783156647553642e-05,57.83156647553642,0.0,0.0
8.326672684688674e-17,8.326672684688674e-14,interface,8.326672684688674e-17,8.326672684688674e-14,111636120161.23218,111636120161.23218,5.7234904444938365e-05,57.234904444938365,0.0,0.0
0.0010000000000000842,1.0000000000000842,T_E,0.0010000000000000842,1.0000000000000842,110364716121.1283,110364716121.1283,5.7234904444938365e-05,57.234904444938365,0.0,0.0
0.002000000000000085,2.0000000000000853,T_E,0.002000000000000085,2.0000000000000853,109116446745.18764,109116446745.18764,5.7234904444938365e-05,57.234904444938365,0.0,0.0
0.003000000000000086,3.000000000000086,T_E,0.003000000000000086,3.000000000000086,107896113487.97311,107896113487.97311,5.7234904444938365e-05,57.234904444938365,0.0,0.0
0.004000000000000087,4.000000000000087,T_E,0.004000000000000087,4.000000000000087,106707441813.28308,106707441813.28308,5.7234904444938365e-05,57.234904444938365,0.0,0.0
0.005000000000000088,5.000000000000088,T_E,0.005000000000000088,5.000000000000088,105553242043.31097,105553242043.31097,5.7234904444938365e-05,57.234904444938365,0.0,0.0
0.006000000000000089,6.000000000000089,T_E,0.006000000000000089,6.000000000000089,104435549449.10944,104435549449.10944,5.7234904444938365e-05,57.234904444938365,0.0,0.0
0.0070000000000000895,7.00000000000009,T_E,0.0070000000000000895,7.00000000000009,103355745986.79457,103355745986.79457,5.7234904444938365e-05,57.234904444938365,0.0,0.0
0.00800000000000009,8.00000000000009,T_E,0.00800000000000009,8.00000000000009,102314665843.86877,102314665843.86877,5.7234904444938365e-05,57.234904444938365,0.0,0.0
0.009000000000000091,9.00000000000009,T_E,0.009000000000000091,9.00000000000009,101312686736.49539,101312686736.49539,5.7234904444938365e-05,57.234904444938365,0.0,0.0
0.010000000000000092,10.000000000000092,T_E,0.010000000000000092,10.000000000000092,100349808692.22014,100349808692.22014,5.7234904444938365e-05,57.234904444938365,0.0,0.0
0.011000000000000093,11.000000000000092,T_E,0.011000000000000093,11.000000000000092,99425721863.53491,99425721863.53491,5.7234904444938365e-05,57.234904444938365,0.0,0.0
0.012000000000000094,12.000000000000094,T_E,0.012000000000000094,12.000000000000094,98539864745.38297,98539864745.38297,5.7234904444938365e-05,57.234904444938365,0.0,0.0
0.013000000000000095,13.000000000000094,T_E,0.013000000000000095,13.000000000000094,97691474013.60246,97691474013.60246,5.7234904444938365e-05,57.234904444938365,0.0,0.0
0.014000000000000096,14.000000000000096,T_E,0.014000000000000096,14.000000000000096,97661527382.61154,-97661527382.61154,5.783156647553642e-05,57.83156647553642,0.0,0.0
0.015000000000000097,15.000000000000096,T_E,0.015000000000000097,15.000000000000096,97957728305.76823,-97957728305.76823,5.783156647553642e-05,57.83156647553642,0.0,0.0
0.016000000000000097,16.000000000000096,T_E,0.016000000000000097,16.000000000000096,98226540147.34793,-98226540147.34793,5.783156647553642e-05,57.83156647553642,0.0,0.0
0.0170000000000001,17.0000000000001,T_E,0.0170000000000001,17.0000000000001,98469730912.04944,-98469730912.04944,5.783156647553642e-05,57.83156647553642,0.0,0.0
0.0180000000000001,18.0000000000001,T_E,0.0180000000000001,18.0000000000001,98769522434.29071,-98769522434.29071,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.0190000000000001,19.0000000000001,T_E,0.0190000000000001,19.0000000000001,99099059441.06392,-99099059441.06392,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.0200000000000001,20.0000000000001,T_E,0.0200000000000001,20.0000000000001,99396655398.74834,-99396655398.74834,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.021000000000000102,21.000000000000103,T_E,0.021000000000000102,21.000000000000103,99664297742.63312,-99664297742.63312,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.022000000000000103,22.000000000000103,T_E,0.022000000000000103,22.000000000000103,99903856166.14642,-99903856166.14642,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.023000000000000104,23.000000000000103,T_E,0.023000000000000104,23.000000000000103,100117088515.95819,-100117088515.95819,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.024000000000000105,24.000000000000103,T_E,0.024000000000000105,24.000000000000103,100305646578.98375,-100305646578.98375,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.025000000000000105,25.000000000000107,T_E,0.025000000000000105,25.000000000000107,100471081725.90569,-100471081725.90569,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.026000000000000106,26.000000000000107,T_E,0.026000000000000106,26.000000000000107,100614850384.65791,-100614850384.65791,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.027000000000000107,27.000000000000107,T_E,0.027000000000000107,27.000000000000107,100738319324.53532,-100738319324.53532,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.028000000000000108,28.000000000000107,T_E,0.028000000000000108,28.000000000000107,100842770737.5103,-100842770737.5103,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.02900000000000011,29.00000000000011,T_E,0.02900000000000011,29.00000000000011,100929407108.14326,-100929407108.14326,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.03000000000000011,30.00000000000011,T_E,0.03000000000000011,30.00000000000011,100999355867.36064,-100999355867.36064,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.03100000000000011,31.00000000000011,T_E,0.03100000000000011,31.00000000000011,101053673828.49977,-101053673828.49977,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.03200000000000011,32.000000000000114,T_E,0.03200000000000011,32.000000000000114,101093351406.51755,-101093351406.51755,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.03300000000000011,33.000000000000114,T_E,0.03300000000000011,33.000000000000114,101119316623.21985,-101119316623.21985,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.03400000000000011,34.000000000000114,T_E,0.03400000000000011,34.000000000000114,101132438902.90164,-101132438902.90164,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.035000000000000114,35.000000000000114,T_E,0.035000000000000114,35.000000000000114,101133532663.95956,-101133532663.95956,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.036000000000000115,36.000000000000114,T_E,0.036000000000000115,36.000000000000114,101123360712.91158,-101123360712.91158,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.037000000000000116,37.000000000000114,T_E,0.037000000000000116,37.000000000000114,101102637447.88931,-101102637447.88931,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.03800000000000012,38.000000000000114,T_E,0.03800000000000012,38.000000000000114,101072031879.09952,-101072031879.09952,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.03900000000000012,39.00000000000012,T_E,0.03900000000000012,39.00000000000012,101032170474.02034,-101032170474.02034,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.04000000000000012,40.00000000000012,T_E,0.04000000000000012,40.00000000000012,100983639835.23538,-100983639835.23538,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.04100000000000012,41.00000000000012,T_E,0.04100000000000012,41.00000000000012,100926989218.8393,-100926989218.8393,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.04200000000000012,42.00000000000012,T_E,0.04200000000000012,42.00000000000012,100862732901.29645,-100862732901.29645,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.04300000000000012,43.00000000000012,T_E,0.04300000000000012,43.00000000000012,100791352402.51309,-100791352402.51309,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.04400000000000012,44.00000000000012,T_E,0.04400000000000012,44.00000000000012,100713298572.71524,-100713298572.71524,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.04500000000000012,45.00000000000012,T_E,0.04500000000000012,45.00000000000012,100628993550.51082,-100628993550.51082,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.046000000000000124,46.00000000000012,T_E,0.046000000000000124,46.00000000000012,100538832599.27446,-100538832599.27446,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.047000000000000125,47.00000000000013,T_E,0.047000000000000125,47.00000000000013,100443185828.73494,-100443185828.73494,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.048000000000000126,48.00000000000013,T_E,0.048000000000000126,48.00000000000013,100342399808.36774,-100342399808.36774,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.04900000000000013,49.00000000000013,T_E,0.04900000000000013,49.00000000000013,100236799078.90935,-100236799078.90935,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.05000000000000013,50.00000000000013,T_E,0.05000000000000013,50.00000000000013,100126687568.02701,-100126687568.02701,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.05100000000000013,51.00000000000013,T_E,0.05100000000000013,51.00000000000013,100012349915.88602,-100012349915.88602,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.05200000000000013,52.00000000000013,T_E,0.05200000000000013,52.00000000000013,99894052716.0641,-99894052716.0641,5.7785669396259644e-05,57.78566939625964,0.0,0.0
