case,Pe,Time_s,Time_norm,Porosity,RE_abs_f_low,RE_abs_f_high,RE_spectral_ratio_high_over_low,TTM_spectral_ratio_high_over_low,L_sigma_index,RE_abs,TTM_abs,RE_abs_norm,TTM_abs_norm,RE_spectral_ratio_high_over_low_norm,L_sigma_index_norm
Pe1,1.0,325.6,0.24107803938990083,0.76035,5629479.627785497,22380656.960247632,3.975617364308972,1.0517782910000095,1.9447239913286593e-09,11552383.563441126,8.384365323886701e-10,0.007807975872798447,0.0020080023180679453,1.002649346929407,0.008752561568762692
Pe1,1.0,350.6,0.25958833111209834,0.7745,2207033.4882636634,8467436.548050748,3.8365691291400945,1.1386454908881916,1.031704130688603e-09,4429877.31770265,6.660818935345737e-10,0.0029940466420746597,0.0015952238894338807,0.9675814293185798,0.004643360170832954
Pe1,1.0,375.6,0.2780986228342959,0.7882,4144164.4476508005,22846890.88481685,5.51302709470616,2.8832383406044406,5.756969830062602e-10,10166002.986473449,1.0891612936239688e-09,0.006870954864446851,0.002608472219257946,1.390383557969003,0.002591022330768201
Pe1,1.0,400.6,0.29660891455649346,0.80135,4398873.661258638,19852915.895890236,4.513181651643475,16.812856412669756,3.008855903516099e-10,9724792.318041788,1.2518631418012414e-09,0.006572751274251174,0.002998132826439663,1.1382228773368528,0.0013541868493671034
Pe1,1.0,425.6,0.315119206278691,0.8145,1420063.9885020882,6048165.863207459,4.259079810612749,49.25596173220174,1.421897151886738e-10,3021092.331683786,2.3881849850430137e-10,0.0020418830370151795,0.0005719551570921308,1.0741384794643978,0.0006399490324503195
Pe1,1.0,450.6,0.33362949800088854,0.82625,478523.5828654619,2048041.065828169,4.279916683654818,1.4997460659587627,5.851485879774935e-11,1020265.1923007644,8.669909828956925e-11,0.0006895724991810721,0.00020763884159946488,1.0793935317577195,0.0002633560888837731
Pe1,1.0,475.6,0.35213978972308607,0.8372,59816.78075822428,257132.94725645383,4.298675789587695,2.546954813501149,8.206820144873288e-12,127829.32321836652,4.675269575052603e-11,8.63967393433618e-05,0.00011196974107929537,1.084124571892878,3.693619193368916e-05
Pe1,1.0,500.6,0.3706500814452836,0.84655,178400.67289828605,769106.0823566514,4.311116487745268,12.9750844167447,2.64030862355093e-11,381818.91641898215,4.924549094062584e-11,0.00025806214542702,0.00011793982745652952,1.0872621117363797,0.00011883158685349443
Pe1,1.0,525.6,0.38916037316748114,0.8565,250101.59382004273,1080489.5017923852,4.320202383715463,0.5141763954107209,3.9472807165486805e-11,535875.5674253264,1.8513676625901896e-11,0.0003621852995359515,4.4339081307514e-05,1.089553571609397,0.0001776540920708129
Pe1,1.0,550.6,0.4076706648896787,0.86545,274387.6037758287,1187292.0947870635,4.327061712879225,0.5058330152878776,4.5454179255686436e-11,588398.9179693772,3.48807242110788e-11,0.0003976845583299805,8.353712221030291e-05,1.0912834920912224,0.00020457427597278828
