Time_s,Time_norm,RE_abs,TTM_abs,RE_real,RE_imag,TTM_real,TTM_imag,case,Pe,RE_phase_rad,TTM_phase_rad
21.4,0.05265748031496063,314549.944659561,3.9096731966248304e-11,290053.3757661803,121699.24770505319,-7.367186932492521e-12,-3.839634106451256e-11,Pe10,10.0,0.3972669657200997,-1.7603645317150527
26.4,0.06496062992125984,664091.9700220937,9.37013526619016e-11,-605344.2225730738,-273087.013322176,-2.6986076604576453e-11,-8.973123848561317e-11,Pe10,10.0,-2.7178020593709284,-1.8629349883099025
31.4,0.07726377952755906,1116996.4001054466,3.8004670568016635e-11,-1007823.5561751573,-481635.3781305798,-1.6308353920873673e-11,-3.432772316036987e-11,Pe10,10.0,-2.695783664838568,-2.0143084890331022
36.4,0.08956692913385828,1241118.6530588313,3.81542715799849e-11,-1106020.6752849817,-563110.8033173586,-2.6950888173156816e-11,-2.700737059539932e-11,Pe10,10.0,-2.67066595737306,-2.355147710646426
41.4,0.10187007874015748,923287.6567753362,5.545239691566013e-11,-829456.2071941361,-405539.7606903786,-5.38935078850702e-11,-1.3055961532334167e-11,Pe10,10.0,-2.6868462924313046,-2.9039167596749866
46.4,0.1141732283464567,974828.460831849,1.0895127001058262e-10,-620638.9046361215,751729.9236427051,3.2186768619060836e-11,1.0408838149756157e-10,Pe10,10.0,2.260961724680298,1.2708975232507955
51.4,0.1264763779527559,3657225.3715749322,3.984418320903535e-10,-3653624.2642904427,-162256.44480119844,1.9691516342656868e-10,-3.463817431277307e-10,Pe10,10.0,-3.0972120904949043,-1.0538669245709316
56.4,0.13877952755905512,1948996.167741594,1.9268494255507528e-10,-1609168.9897542302,-1099618.6722154045,-1.9026894197994007e-10,-3.0417376699624535e-11,Pe10,10.0,-2.5421317544636888,-2.983068858962084
61.4,0.15108267716535434,1327493.3202406329,5.911407424938102e-11,-1023313.490047526,-845616.9442308092,5.4076132097131954e-11,-2.3879818085045525e-11,Pe10,10.0,-2.450988798938356,-0.41584344262929196
66.4,0.16338582677165356,981455.1476999457,3.8739275833298617e-11,-736076.5060965712,-649188.4041781605,3.580162481944379e-11,-1.4797809039725457e-11,Pe10,10.0,-2.4188355235575996,-0.3919428524068437
71.4,0.17568897637795278,810204.0446418251,3.862571571400756e-11,-599791.5998337754,-544683.9732567985,-3.426278026162382e-11,-1.7832773288611377e-11,Pe10,10.0,-2.404308314279109,-2.661702918340341
76.4,0.187992125984252,673806.0442961587,1.1899385805662411e-11,-494928.3932821363,-457231.3100097149,3.1667639890241494e-12,-1.1470265401891098e-11,Pe10,10.0,-2.3957649587255427,-1.301422023127042
81.4,0.20029527559055121,552799.2835963903,2.0622369964291528e-11,-403787.6303802037,-377548.1393102372,1.9808385263702748e-11,-5.736725214688007e-12,Pe10,10.0,-2.3897647353834977,-0.28189851276547295
86.4,0.21259842519685043,507406.5722316007,8.554843364394666e-12,-369562.1215026977,-347685.58769993315,4.8261225744052655e-12,-7.063560425602895e-12,Pe10,10.0,-2.386685704679098,-0.9714059682824573
91.4,0.22490157480314962,440993.3918225733,6.511355570518034e-12,-320332.94898314076,-303087.4022900692,8.731318699550349e-13,-6.45254927167434e-12,Pe10,10.0,-2.3838502279942517,-1.4362974637871204
96.4,0.23720472440944884,380611.6114309551,1.8409261630348537e-11,-275857.2373969542,-262236.5026684668,-1.6545973278068598e-11,-8.07042019079941e-12,Pe10,10.0,-2.3815020262096627,-2.68778703977424
