Time_s,Porosity,frequency_Hz,k_dyn_abs,L_abs,sigma_abs,omega_t,sigma_f,C_molL,pH,case,Pe,Time_norm
7569.2,0.8078,156147.12942169173,7.250035153514297e-13,2.7034574582874677e-09,0.00951544881733665,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,161592.51332237766,7.012104859048393e-13,2.6572052235379362e-09,0.009515447315747728,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,167227.7963645699,6.781885101859821e-13,2.6117389415836796e-09,0.00951544578824401,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,173059.60098014915,6.559130554181625e-13,2.567045266120127e-09,0.009515444234379769,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,179094.78054782117,6.343603491779709e-13,2.52311107679746e-09,0.009515442653701666,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,185340.42744702383,6.135073566581725e-13,2.4799234754551997e-09,0.009515441045748666,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,191803.88139269766,5.933317585820332e-13,2.437469782414625e-09,0.009515439410051884,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,198492.73806072026,5.738119297509273e-13,2.395737532828455e-09,0.009515437746134461,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,205414.8580141388,5.549269182076367e-13,2.3547144730873527e-09,0.009515436053511449,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,212578.37594069092,5.366564249982609e-13,2.314388557282686e-09,0.009515434331689653,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,219991.71021246776,5.189807845161501e-13,2.274747943725021e-09,0.009515432580167512,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,227663.572778959,5.018809454117406e-13,2.235780991517722e-09,0.009515430798434962,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,235602.97940509813,4.853384520526676e-13,2.197476257185104e-09,0.009515428985973294,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,243819.2602663455,4.693354265189271e-13,2.159822491354487e-09,0.00951542714225501,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,252322.07091325754,4.538545511183282e-13,2.1228086354915362e-09,0.009515425266743689,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
